theta,V_unperturbed,V_perturbed_dvnet_poly
0.9533739024531172,-7.205666,-6.8222365
0.9659528520170402,-7.1060305,-6.7149644
0.9785318015809632,-7.005303,-6.6067953
0.9911107511448862,-6.903493,-6.4977455
1.0036897007088101,-6.800609,-6.387829
1.0162686502727332,-6.6966634,-6.2770615
1.0288475998366562,-6.5916667,-6.165456
1.0414265494005792,-6.4856334,-6.0530267
1.0540054989645022,-6.3785725,-5.9397836
1.0665844485284253,-6.270499,-5.82574
1.0791633980923483,-6.161427,-5.7109056
1.0917423476562713,-6.0513716,-5.595293
1.1043212972201943,-5.9403486,-5.478913
1.1169002467841174,-5.828373,-5.3617744
1.1294791963480404,-5.715463,-5.2438903
1.1420581459119634,-5.6016374,-5.125272
1.1546370954758864,-5.4869103,-5.005926
1.1672160450398104,-5.371302,-4.8858647
1.1797949946037334,-5.2548327,-4.7651
1.1923739441676564,-5.1375213,-4.6436424
1.2049528937315794,-5.0193877,-4.5215025
1.2175318432955025,-4.9004545,-4.398694
1.2301107928594255,-4.78074,-4.275225
1.2426897424233485,-4.6602674,-4.15111
1.2552686919872715,-4.5390577,-4.02636
1.2678476415511946,-4.417135,-3.9009886
1.2804265911151176,-4.294518,-3.7750053
1.2930055406790406,-4.1712327,-3.648425
1.3055844902429636,-4.0473,-3.5212584
1.3181634398068875,-3.9227438,-3.393519
1.3307423893708106,-3.7975872,-3.265219
1.3433213389347336,-3.671853,-3.13637
1.3559002884986566,-3.5455637,-3.0069835
1.3684792380625797,-3.4187443,-2.877072
1.3810581876265027,-3.2914155,-2.7466447
1.3936371371904257,-3.1636019,-2.6157136
1.4062160867543487,-3.035326,-2.4842877
1.4187950363182718,-2.906611,-2.352377
1.4313739858821948,-2.777478,-2.2199874
1.4439529354461178,-2.6479502,-2.0871272
1.4565318850100408,-2.5180495,-1.9538016
1.4691108345739639,-2.3877983,-1.8200164
1.4816897841378878,-2.2572165,-1.6857724
1.4942687337018108,-2.1263258,-1.5510716
1.5068476832657338,-1.9951462,-1.4159126
1.5194266328296568,-1.8636992,-1.280294
1.5320055823935799,-1.7320037,-1.1442105
1.544584531957503,-1.6000781,-1.007653
1.557163481521426,-1.467943,-0.8706142
1.569742431085349,-1.3356158,-0.73307997
1.582321380649272,-1.2031131,-0.5950344
1.594900330213195,-1.0704535,-0.45646024
1.607479279777118,-0.9376528,-0.31733513
1.620058229341041,-0.80472827,-0.17763597
1.632637178904964,-0.6716941,-0.037333965
1.645216128468888,-0.53856456,0.10360193
1.657795078032811,-0.4053551,0.24520296
1.670374027596734,-0.27207935,0.38750464
1.682952977160657,-0.13874924,0.5305444
1.69553192672458,-0.0053783134,0.6743591
1.708110876288503,0.12802225,0.8189866
1.7206898258524261,0.26144135,0.96446353
1.7332687754163492,0.39486766,1.1108238
1.7458477249802722,0.52829117,1.2580965
1.7584266745441952,0.66170216,1.4063056
1.7710056241081182,0.7950915,1.5554676
1.7835845736720413,0.92845,1.7055881
1.7961635232359643,1.061769,1.8566625
1.8087424727998882,1.1950411,2.0086732
1.8213214223638112,1.3282565,2.1615853
1.8339003719277343,1.4614078,2.3153515
1.8464793214916573,1.5944868,2.469908
1.8590582710555803,1.7274854,2.6251767
1.8716372206195033,1.8603941,2.7810636
1.8842161701834264,1.993206,2.9374676
1.8967951197473494,2.12591,3.0942743
1.9093740693112724,2.258497,3.251367
1.9219530188751954,2.3909552,3.408626
1.9345319684391185,2.5232744,3.5659347
1.9471109180030415,2.6554403,3.7231789
1.9596898675669654,2.7874393,3.8802557
1.9722688171308884,2.9192567,4.0370727
1.9848477666948114,3.0508745,4.1935472
1.9974267162587345,3.1822755,4.3496156
2.0100056658226575,3.313439,4.5052214
2.0225846153865805,3.4443417,4.660326
2.0351635649505035,3.5749614,4.814904
2.0477425145144266,3.705271,4.9689384
2.0603214640783496,3.8352432,5.122426
2.0729004136422726,3.964848,5.2753706
2.0854793632061956,4.094053,5.4277844
2.0980583127701187,4.2228246,5.5796857
2.1106372623340417,4.3511267,5.731097
2.1232162118979656,4.4789224,5.882046
2.1357951614618886,4.606171,6.0325623
2.1483741110258117,4.7328334,6.1826773
2.1609530605897347,4.858866,6.3324246
2.1735320101536577,4.9842267,6.4818397
2.1861109597175807,5.108871,6.6309576
2.1986899092815038,5.2327533,6.779814
2.211268858845427,5.3558292,6.928443
2.22384780840935,5.4780517,7.0768795
2.236426757973273,5.5993752,7.2251577
2.249005707537196,5.7197537,7.373307
2.261584657101119,5.8391423,7.5213585
2.274163606665042,5.957496,7.6693363
2.286742556228966,6.07477,7.8172617
2.299321505792889,6.1909204,7.9651484
2.311900455356812,6.305907,8.113007
2.324479404920735,6.4196863,8.260835
2.337058354484658,6.5322185,8.40862
2.349637304048581,6.643466,8.556343
2.362216253612504,6.7533913,8.703972
