theta,V_unperturbed,V_perturbed_lora_sin
-2.027837144196656,3.4803302,4.1377344
-2.015258194632733,3.3510516,3.9816663
-2.00267924506881,3.2212658,3.8181906
-1.9901002955048868,3.09099,3.6481056
-1.9775213459409637,2.9602416,3.4722452
-1.9649423963770407,2.829039,3.2914696
-1.9523634468131177,2.697401,3.1066527
-1.9397844972491938,2.5653462,2.918674
-1.9272055476852716,2.432895,2.7284017
-1.9146265981213477,2.3000674,2.536677
-1.9020476485574256,2.1668844,2.3443003
-1.8894686989935017,2.0333676,2.1520095
-1.8768897494295795,1.8995392,1.9604666
-1.8643107998656556,1.7654226,1.7702401
-1.8517318503017326,1.6310395,1.5817986
-1.8391529007378096,1.496416,1.3954984
-1.8265739511738865,1.3615757,1.2115915
-1.8139950016099635,1.2265433,1.0302198
-1.8014160520460405,1.0913445,0.85142577
-1.7888371024821175,0.95600575,0.67516756
-1.776258152918194,0.8205561,0.5013298
-1.763679203354271,0.6850173,0.32972896
-1.751100253790348,0.549419,0.16014671
-1.738521304226425,0.4137888,-0.0076613426
-1.725942354662502,0.27815506,-0.173949
-1.7133634050985789,0.14254513,-0.33896542
-1.7007844555346554,0.006988667,-0.5029321
-1.6882055059707324,-0.1284864,-0.66603684
-1.6756265564068094,-0.26385072,-0.8284137
-1.6630476068428863,-0.39907646,-0.99013925
-1.6504686572789633,-0.534135,-1.1512183
-1.6378897077150403,-0.66899645,-1.3115844
-1.6253107581511173,-0.80363363,-1.4710934
-1.6127318085871938,-0.9380175,-1.6295345
-1.6001528590232708,-1.0721203,-1.7866293
-1.5875739094593477,-1.2059139,-1.9420456
-1.5749949598954247,-1.3393681,-2.0954106
-1.5624160103315017,-1.4724623,-2.2463365
-1.5498370607675787,-1.6051661,-2.394416
-1.5372581112036552,-1.737455,-2.539261
-1.5246791616397322,-1.8693023,-2.6805067
-1.5121002120758091,-2.0006843,-2.817827
-1.499521262511886,-2.1315768,-2.950946
-1.486942312947963,-2.2619562,-3.0796492
-1.47436336338404,-2.3918009,-3.2037811
-1.461784413820117,-2.5210888,-3.3232458
-1.4492054642561936,-2.6498,-3.4380107
-1.4366265146922705,-2.7779145,-3.5480976
-1.4240475651283475,-2.9054134,-3.6535807
-1.4114686155644245,-3.0322795,-3.7545736
-1.3988896660005015,-3.1584954,-3.8512316
-1.3863107164365784,-3.2840471,-3.9437394
-1.373731766872655,-3.408918,-4.0323043
-1.361152817308732,-3.5330932,-4.117156
-1.348573867744809,-3.6565645,-4.1985416
-1.335994918180886,-3.7793186,-4.276716
-1.3234159686169629,-3.9013448,-4.3519454
-1.3108370190530398,-4.0226336,-4.4245024
-1.2982580694891164,-4.1431766,-4.4946666
-1.2856791199251933,-4.262966,-4.5627227
-1.2731001703612703,-4.3819957,-4.6289597
-1.2605212207973473,-4.50026,-4.6936703
-1.2479422712334243,-4.617753,-4.7571516
-1.2353633216695012,-4.734471,-4.819705
-1.2227843721055782,-4.8504114,-4.881636
-1.2102054225416548,-4.965571,-4.9432545
-1.1976264729777317,-5.079946,-5.0048695
-1.1850475234138087,-5.193537,-5.066798
-1.1724685738498857,-5.306341,-5.129354
-1.1598896242859627,-5.4183555,-5.192852
-1.1473106747220396,-5.5295835,-5.2576056
-1.1347317251581162,-5.640023,-5.3239217
-1.1221527755941931,-5.7496734,-5.392099
-1.10957382603027,-5.858533,-5.462424
-1.096994876466347,-5.9666023,-5.535166
-1.084415926902424,-6.0738792,-5.6105757
-1.071836977338501,-6.1803637,-5.6888766
-1.0592580277745776,-6.286053,-5.7702646
-1.0466790782106545,-6.3909464,-5.854899
-1.0341001286467315,-6.4950395,-5.9429064
-1.0215211790828085,-6.5983315,-6.0343704
-1.0089422295188855,-6.700816,-6.1293397
-0.9963632799549624,-6.80249,-6.227821
-0.9837843303910394,-6.9033475,-6.3297853
-0.9712053808271159,-7.003382,-6.4351697
-0.9586264312631929,-7.102585,-6.5438795
-0.9460474816992699,-7.20095,-6.6558046
-0.9334685321353469,-7.2984686,-6.7708044
-0.9208895825714238,-7.3951297,-6.8887234
-0.9083106330075008,-7.4909215,-7.0093904
-0.8957316834435773,-7.585832,-7.132617
-0.8831527338796543,-7.679849,-7.2582016
-0.8705737843157313,-7.772957,-7.385916
-0.8579948347518083,-7.8651423,-7.5155115
-0.8454158851878852,-7.956388,-7.6467123
-0.8328369356239622,-8.0466795,-7.7792087
-0.8202579860600392,-8.135999,-7.9126635
