theta,V_unperturbed,V_perturbed_dvnet_sin
0.6263212137911167,-9.392668,-9.574554
0.6389001633550397,-9.323414,-9.4826355
0.6514791129189628,-9.252938,-9.387276
0.6640580624828858,-9.181243,-9.288419
0.6766370120468097,-9.108333,-9.185983
0.6892159616107327,-9.034214,-9.079859
0.7017949111746558,-8.958892,-8.96992
0.7143738607385788,-8.882367,-8.856027
0.7269528103025018,-8.804648,-8.738054
0.7395317598664248,-8.725736,-8.615892
0.7521107094303479,-8.645635,-8.489489
0.7646896589942709,-8.564347,-8.3588505
0.7772686085581939,-8.481879,-8.224084
0.7898475581221169,-8.398234,-8.085397
0.80242650768604,-8.3134165,-7.943118
0.815005457249963,-8.2274275,-7.7977004
0.827584406813886,-8.140273,-7.6497154
0.8401633563778099,-8.051958,-7.499841
0.852742305941733,-7.962484,-7.3488345
0.865321255505656,-7.871859,-7.1975102
0.877900205069579,-7.7800846,-7.046695
0.890479154633502,-7.687168,-6.8971977
0.903058104197425,-7.5931153,-6.7497625
0.9156370537613481,-7.497931,-6.605043
0.9282160033252711,-7.4016247,-6.4635787
0.9407949528891941,-7.3041997,-6.325771
0.9533739024531172,-7.205666,-6.1918974
0.9659528520170402,-7.1060305,-6.0621104
0.9785318015809632,-7.005303,-5.936457
0.9911107511448862,-6.903493,-5.8149004
1.0036897007088101,-6.800609,-5.69734
1.0162686502727332,-6.6966634,-5.5836363
1.0288475998366562,-6.5916667,-5.4736276
1.0414265494005792,-6.4856334,-5.367145
1.0540054989645022,-6.3785725,-5.2640166
1.0665844485284253,-6.270499,-5.1640825
1.0791633980923483,-6.161427,-5.06719
1.0917423476562713,-6.0513716,-4.973197
1.1043212972201943,-5.9403486,-4.881964
1.1169002467841174,-5.828373,-4.793351
1.1294791963480404,-5.715463,-4.7072144
1.1420581459119634,-5.6016374,-4.623393
1.1546370954758864,-5.4869103,-4.5417056
1.1672160450398104,-5.371302,-4.461945
1.1797949946037334,-5.2548327,-4.383876
1.1923739441676564,-5.1375213,-4.3072267
1.2049528937315794,-5.0193877,-4.231696
1.2175318432955025,-4.9004545,-4.1569533
1.2301107928594255,-4.78074,-4.0826406
1.2426897424233485,-4.6602674,-4.008389
1.2552686919872715,-4.5390577,-3.9338202
1.2678476415511946,-4.417135,-3.8585606
1.2804265911151176,-4.294518,-3.7822495
1.2930055406790406,-4.1712327,-3.7045531
1.3055844902429636,-4.0473,-3.625167
1.3181634398068875,-3.9227438,-3.5438247
1.3307423893708106,-3.7975872,-3.4603045
1.3433213389347336,-3.671853,-3.3744235
1.3559002884986566,-3.5455637,-3.286043
1.3684792380625797,-3.4187443,-3.1950662
1.3810581876265027,-3.2914155,-3.1014283
1.3936371371904257,-3.1636019,-3.0051003
1.4062160867543487,-3.035326,-2.9060764
1.4187950363182718,-2.906611,-2.804372
1.4313739858821948,-2.777478,-2.7000167
1.4439529354461178,-2.6479502,-2.5930498
1.4565318850100408,-2.5180495,-2.4835134
1.4691108345739639,-2.3877983,-2.371451
1.4816897841378878,-2.2572165,-2.2568984
1.4942687337018108,-2.1263258,-2.1398847
1.5068476832657338,-1.9951462,-2.0204256
1.5194266328296568,-1.8636992,-1.8985236
1.5320055823935799,-1.7320037,-1.7741623
1.544584531957503,-1.6000781,-1.6473054
1.557163481521426,-1.467943,-1.5178981
1.569742431085349,-1.3356158,-1.3858608
1.582321380649272,-1.2031131,-1.2510915
1.594900330213195,-1.0704535,-1.1134684
1.607479279777118,-0.9376528,-0.972846
1.620058229341041,-0.80472827,-0.82906276
1.632637178904964,-0.6716941,-0.6819404
1.645216128468888,-0.53856456,-0.5312924
1.657795078032811,-0.4053551,-0.3769335
1.670374027596734,-0.27207935,-0.2186859
1.682952977160657,-0.13874924,-0.05639238
1.69553192672458,-0.0053783134,0.11006628
1.708110876288503,0.12802225,0.28075942
1.7206898258524261,0.26144135,0.45568913
1.7332687754163492,0.39486766,0.63477373
1.7458477249802722,0.52829117,0.8178381
1.7584266745441952,0.66170216,1.0046052
1.7710056241081182,0.7950915,1.1946967
1.7835845736720413,0.92845,1.3876393
1.7961635232359643,1.061769,1.5828837
1.8087424727998882,1.1950411,1.779828
1.8213214223638112,1.3282565,1.977844
1.8339003719277343,1.4614078,2.1763136
1.8464793214916573,1.5944868,2.3746557
1.8590582710555803,1.7274854,2.5723512
1.8716372206195033,1.8603941,2.7689548
1.8842161701834264,1.993206,2.9641063
