theta,delta_V_learned,delta_V_true
2.368669582446902,-3.0936675,-3.7909120007865993
2.381261136168705,-3.0540907,-3.751545219022975
2.3938526898905073,-3.013337,-3.7115489721368187
2.4064442436123104,-2.9714496,-3.670916585629455
2.4190357973341126,-2.9284866,-3.62964134980209
2.4316273510559157,-2.8845153,-3.5877165197557894
2.4442189047777187,-2.839612,-3.5451353153915015
2.456810458499522,-2.7938597,-3.5018909214100424
2.469402012221324,-2.7473457,-3.4579764873121057
2.4819935659431263,-2.700157,-3.4133851273982487
2.4945851196649294,-2.652381,-3.368109920768902
2.5071766733867324,-2.6041024,-3.322143911324374
2.5197682271085355,-2.5554001,-3.275480107764842
2.5323597808303377,-2.5063488,-3.22811148359036
2.544951334552141,-2.4570153,-3.1800309771008424
2.557542888273943,-2.4074602,-3.1312314913960906
2.570134441995746,-2.357737,-3.0817058943757636
2.5827259957175492,-2.307893,-3.031447018739404
2.5953175494393523,-2.2579682,-2.980447661986422
2.6079091031611545,-2.207998,-2.9287005864161033
2.6205006568829567,-2.1580107,-2.8761985191276
2.63309221060476,-2.1080306,-2.822934152019935
2.645683764326563,-2.0580766,-2.7689001417920114
2.658275318048366,-2.0081623,-2.7140891099426
2.6708668717701682,-1.9582961,-2.6584936427703485
2.6834584254919713,-1.9084792,-2.6021062913737647
2.6960499792137735,-1.8587067,-2.544919571651244
2.7086415329355766,-1.808964,-2.486925964301039
2.7212330866573797,-1.7592275,-2.4281179148212853
2.733824640379183,-1.7094591,-2.3684878335099864
2.746416194100985,-1.6596081,-2.3080280954650236
2.759007747822788,-1.6096041,-2.2467310405841374
2.7715993015445903,-1.559356,-2.1845889735649564
2.7841908552663934,-1.50875,-2.1215941639049642
2.7967824089881965,-1.4576421,-2.057738845901531
2.8093739627099996,-1.4058585,-1.9930152186518941
2.821965516431802,-1.3531892,-1.9274154460531658
2.834557070153604,-1.2993877,-1.8609316568023249
2.847148623875407,-1.2441685,-1.7935559443962186
2.85974017759721,-1.1872098,-1.7252803671315777
2.8723317313190133,-1.1281571,-1.656096948105001
2.8849232850408155,-1.066633,-1.5859976752129619
2.8975148387626186,-1.002254,-1.5149745011517943
2.910106392484421,-0.9346576,-1.4430193434177205
2.922697946206224,-0.8635335,-1.370124084306818
2.935289499928027,-0.78867483,-1.2962805709150516
2.94788105364983,-0.71003485,-1.2214806151382502
2.9604726073716323,-0.62779665,-1.1457159936721224
2.9730641610934354,-0.5424385,-1.0689784480122322
2.9856557148152376,-0.45480537,-0.9912596844540378
2.9982472685370407,-0.36615276,-0.9125513740928497
3.010838822258844,-0.2781644,-0.832845152823861
3.023430375980646,-0.19292688,-0.7521326213421435
3.036021929702449,-0.1128521,-0.6704053451426226
3.0486134834242513,-0.04055834,-0.5876548545201148
3.0612050371460544,0.021283627,-0.5038726445692898
3.0737965908678575,0.070124626,-0.4190501751847071
3.0863881445896606,0.103703976,-0.33317887106078814
3.098979698311463,0.12019682,-0.24625012169183869
3.111571252033266,0.1183362,-0.15825528137201328
3.124162805755068,0.09750271,-0.06918566919536584
3.136754359476871,0.057785988,0.0209674309442045
