theta,V_unperturbed,V_perturbed_lora_poly
0.5382685668436555,-9.842719,-20.631615
0.5508475164075786,-9.782186,-20.5629
0.5634264659715016,-9.720391,-20.492682
0.5760054155354246,-9.657336,-20.420963
0.5885843650993476,-9.593032,-20.347755
0.6011633146632707,-9.527481,-20.273067
0.6137422642271937,-9.4606905,-20.196915
0.6263212137911167,-9.392668,-20.119312
0.6389001633550397,-9.323414,-20.040274
0.6514791129189628,-9.252938,-19.95982
0.6640580624828858,-9.181243,-19.877972
0.6766370120468097,-9.108333,-19.794752
0.6892159616107327,-9.034214,-19.710182
0.7017949111746558,-8.958892,-19.62429
0.7143738607385788,-8.882367,-19.5371
0.7269528103025018,-8.804648,-19.448639
0.7395317598664248,-8.725736,-19.358934
0.7521107094303479,-8.645635,-19.268013
0.7646896589942709,-8.564347,-19.175903
0.7772686085581939,-8.481879,-19.082634
0.7898475581221169,-8.398234,-18.98823
0.80242650768604,-8.3134165,-18.89272
0.815005457249963,-8.2274275,-18.796125
0.827584406813886,-8.140273,-18.698475
0.8401633563778099,-8.051958,-18.59979
0.852742305941733,-7.962484,-18.5001
0.865321255505656,-7.871859,-18.399414
0.877900205069579,-7.7800846,-18.297758
0.890479154633502,-7.687168,-18.19515
0.903058104197425,-7.5931153,-18.091608
0.9156370537613481,-7.497931,-17.987146
0.9282160033252711,-7.4016247,-17.881779
0.9407949528891941,-7.3041997,-17.775517
0.9533739024531172,-7.205666,-17.668373
0.9659528520170402,-7.1060305,-17.560362
0.9785318015809632,-7.005303,-17.451485
0.9911107511448862,-6.903493,-17.341759
1.0036897007088101,-6.800609,-17.231188
1.0162686502727332,-6.6966634,-17.119778
1.0288475998366562,-6.5916667,-17.007542
1.0414265494005792,-6.4856334,-16.894485
1.0540054989645022,-6.3785725,-16.78061
1.0665844485284253,-6.270499,-16.665924
1.0791633980923483,-6.161427,-16.550438
1.0917423476562713,-6.0513716,-16.434155
1.1043212972201943,-5.9403486,-16.317081
1.1169002467841174,-5.828373,-16.199224
1.1294791963480404,-5.715463,-16.080595
1.1420581459119634,-5.6016374,-15.961197
1.1546370954758864,-5.4869103,-15.84104
1.1672160450398104,-5.371302,-15.720128
1.1797949946037334,-5.2548327,-15.5984745
1.1923739441676564,-5.1375213,-15.476086
1.2049528937315794,-5.0193877,-15.352971
1.2175318432955025,-4.9004545,-15.229139
1.2301107928594255,-4.78074,-15.104601
1.2426897424233485,-4.6602674,-14.9793625
1.2552686919872715,-4.5390577,-14.8534355
1.2678476415511946,-4.417135,-14.72683
1.2804265911151176,-4.294518,-14.599552
1.2930055406790406,-4.1712327,-14.471613
1.3055844902429636,-4.0473,-14.343021
1.3181634398068875,-3.9227438,-14.213783
1.3307423893708106,-3.7975872,-14.08391
1.3433213389347336,-3.671853,-13.953409
1.3559002884986566,-3.5455637,-13.822285
1.3684792380625797,-3.4187443,-13.690545
1.3810581876265027,-3.2914155,-13.558196
1.3936371371904257,-3.1636019,-13.425244
1.4062160867543487,-3.035326,-13.291695
1.4187950363182718,-2.906611,-13.157549
1.4313739858821948,-2.777478,-13.022813
1.4439529354461178,-2.6479502,-12.88749
1.4565318850100408,-2.5180495,-12.751581
1.4691108345739639,-2.3877983,-12.615089
1.4816897841378878,-2.2572165,-12.478016
1.4942687337018108,-2.1263258,-12.340362
1.5068476832657338,-1.9951462,-12.202126
1.5194266328296568,-1.8636992,-12.0633135
1.5320055823935799,-1.7320037,-11.92392
1.544584531957503,-1.6000781,-11.783945
1.557163481521426,-1.467943,-11.643393
1.569742431085349,-1.3356158,-11.50226
1.582321380649272,-1.2031131,-11.360546
1.594900330213195,-1.0704535,-11.218252
1.607479279777118,-0.9376528,-11.07538
1.620058229341041,-0.80472827,-10.931931
1.632637178904964,-0.6716941,-10.787905
