theta,delta_V_true,delta_V_dvnet,delta_V_lora
-2.680543459996012,-0.2638229556223233,-0.97180635,-0.97180635
-2.66795190627421,-0.3484090443670165,-1.0301559,-1.0301559
-2.6553603525524068,-0.4310751111533206,-1.0841453,-1.0841453
-2.6427687988306037,-0.5112892872426817,-1.1332042,-1.1332042
-2.6301772451088006,-0.5885354792208382,-1.1768415,-1.1768415
-2.6175856913869984,-0.6623166895132993,-1.2146623,-1.2146623
-2.6049941376651953,-0.7321582140392738,-1.2463982,-1.2463982
-2.592402583943393,-0.7976106964305034,-1.2719109,-1.2719109
-2.57981103022159,-0.8582530191644394,-1.2912004,-1.2912004
-2.567219476499787,-0.9136950130102305,-1.3044107,-1.3044107
-2.5546279227779847,-0.9635799673552083,-1.3118045,-1.3118045
-2.5420363690561816,-1.0075869252605567,-1.3137691,-1.3137691
-2.5294448153343794,-1.0454327484798474,-1.3107698,-1.3107698
-2.5168532616125763,-1.0768739391543178,-1.3033493,-1.3033493
-2.504261707890773,-1.1017082064641295,-1.2920868,-1.2920868
-2.49167015416897,-1.1197757681559304,-1.2775762,-1.2775762
-2.479078600447168,-1.1309603785727123,-1.2603934,-1.2603934
-2.466487046725365,-1.1351900765717156,-1.2410767,-1.2410767
-2.4538954930035626,-1.1324376485182925,-1.2201021,-1.2201021
-2.4413039392817595,-1.122720803376878,-1.197861,-1.197861
-2.4287123855599564,-1.1061020587725268,-1.1746438,-1.1746438
-2.416120831838154,-1.0826883387560966,-1.1506331,-1.1506331
-2.403529278116351,-1.0526302858610204,-1.1258867,-1.1258867
-2.390937724394549,-1.016121291877891,-1.1003463,-1.1003463
-2.378346170672746,-0.9733962535827394,-1.0738323,-1.0738323
-2.3657546169509427,-0.924730061424649,-1.0460618,-1.0460618
-2.3531630632291396,-0.8704358308963438,-1.0166585,-1.0166585
-2.3405715095073374,-0.8108628879670492,-0.985174,-0.985174
-2.3279799557855343,-0.7463945215391995,-0.9511145,-0.9511145
-2.315388402063732,-0.6774455173896228,-0.9139665,-0.9139665
-2.302796848341929,-0.6044594894615783,-0.8732279,-0.8732279
