theta,delta_V_learned,delta_V_true
2.910106392484421,-0.565289,-1.4430193434177205
2.922697946206224,-0.49466753,-1.370124084306818
2.935289499928027,-0.4246745,-1.2962805709150516
2.94788105364983,-0.355999,-1.2214806151382502
2.9604726073716323,-0.2893901,-1.1457159936721224
2.9730641610934354,-0.22566319,-1.0689784480122322
2.9856557148152376,-0.16565943,-0.9912596844540378
2.9982472685370407,-0.11021185,-0.9125513740928497
3.010838822258844,-0.06013632,-0.832845152823861
3.023430375980646,-0.016183853,-0.7521326213421435
3.036021929702449,0.020985126,-0.6704053451426226
3.0486134834242513,0.05081415,-0.5876548545201148
3.0612050371460544,0.07286978,-0.5038726445692898
3.0737965908678575,0.08684969,-0.4190501751847071
3.0863881445896606,0.09258413,-0.33317887106078814
3.098979698311463,0.09003401,-0.24625012169183869
3.111571252033266,0.079274654,-0.15825528137201328
3.124162805755068,0.060489178,-0.06918566919536584
3.136754359476871,0.03394699,0.0209674309442045
