theta,V_unperturbed
5.796269484563508,-10.083766
5.808848434127432,-10.139312
5.821427383691354,-10.193441
5.834006333255278,-10.246149
5.8465852828192,-10.297429
5.859164232383124,-10.347275
5.871743181947046,-10.395682
5.88432213151097,-10.442646
5.896901081074892,-10.488163
5.909480030638816,-10.5322275
5.92205898020274,-10.574838
5.934637929766662,-10.615989
5.947216879330586,-10.655679
5.959795828894508,-10.693901
5.972374778458432,-10.730658
5.984953728022354,-10.765942
5.997532677586278,-10.799752
6.0101116271502,-10.832086
6.022690576714124,-10.862941
6.0352695262780465,-10.892314
6.04784847584197,-10.920207
6.0604274254058925,-10.946614
6.073006374969816,-10.971533
6.08558532453374,-10.9949665
6.0981642740976625,-11.01691
6.110743223661586,-11.037364
6.1233221732255085,-11.056327
6.1359011227894324,-11.0738
6.148480072353355,-11.089783
6.1610590219172785,-11.104276
6.173637971481201,-11.117278
6.1862169210451246,-11.128793
6.198795870609047,-11.13882
6.211374820172971,-11.147362
6.223953769736893,-11.15442
6.236532719300817,-11.159994
6.249111668864741,-11.16409
6.261690618428663,-11.166707
6.274269567992587,-11.167851
6.286848517556509,-11.167521
6.299427467120433,-11.165724
6.312006416684355,-11.16246
6.324585366248279,-11.157733
6.337164315812201,-11.151547
6.349743265376125,-11.143903
6.362322214940047,-11.134807
6.374901164503971,-11.124263
6.387480114067893,-11.112269
6.400059063631817,-11.098837
6.412638013195741,-11.083964
6.425216962759663,-11.0676565
6.437795912323587,-11.049916
6.450374861887509,-11.030747
6.462953811451433,-11.010156
6.475532761015355,-10.988139
6.488111710579279,-10.964707
6.500690660143201,-10.939863
6.513269609707125,-10.913608
6.525848559271047,-10.885947
6.538427508834971,-10.856883
6.551006458398895,-10.826421
6.563585407962817,-10.794566
6.576164357526741,-10.76132
6.588743307090663,-10.72669
6.601322256654587,-10.690679
6.613901206218509,-10.653293
6.626480155782433,-10.614535
6.639059105346355,-10.57441
6.651638054910279,-10.532927
6.664217004474201,-10.490088
6.676795954038125,-10.445901
6.689374903602047,-10.400368
6.701953853165971,-10.3534975
6.714532802729895,-10.305296
6.727111752293817,-10.255769
6.739690701857741,-10.204923
6.752269651421663,-10.152764
6.764848600985587,-10.0992985
6.777427550549509,-10.044534
6.790006500113433,-9.988476
6.8025854496773555,-9.931131
6.815164399241279,-9.872508
6.8277433488052015,-9.81261
6.840322298369125,-9.751446
6.852901247933048,-9.689019
6.8654801974969715,-9.625339
6.878059147060895,-9.560411
6.8906380966248175,-9.494241
6.903217046188741,-9.426831
6.915795995752664,-9.358195
6.9283749453165875,-9.288329
6.94095389488051,-9.217243
6.9535328444444335,-9.14494
6.966111794008356,-9.071425
6.97869074357228,-8.996704
6.991269693136202,-8.92078
7.003848642700126,-8.843658
7.016427592264048,-8.765342
7.029006541827972,-8.685834
7.041585491391896,-8.605139
7.054164440955818,-8.523262
7.066743390519742,-8.440206
7.079322340083664,-8.355972
7.091901289647588,-8.270568
7.10448023921151,-8.183996
7.117059188775434,-8.096259
7.129638138339356,-8.007364
7.14221708790328,-7.917314
7.154796037467202,-7.826114
7.167374987031126,-7.733768
7.179953936595048,-7.640283
7.192532886158972,-7.545664
7.205111835722896,-7.4499173
7.217690785286818,-7.3530498
7.230269734850742,-7.2550697
7.242848684414664,-7.155984
7.255427633978588,-7.0558014
7.26800658354251,-6.9545307
7.280585533106434,-6.852183
7.293164482670356,-6.7487674
7.30574343223428,-6.6442943
7.318322381798202,-6.538781
7.330901331362126,-6.4322314
7.343480280926048,-6.3246627
7.356059230489972,-6.2160883
7.368638180053896,-6.106522
7.381217129617818,-5.9959817
7.393796079181742,-5.8844805
7.406375028745664,-5.7720356
7.418953978309588,-5.658665
7.43153292787351,-5.5443854
7.444111877437434,-5.429216
7.456690827001356,-5.3131742
7.46926977656528,-5.1962814
7.481848726129202,-5.0785565
7.494427675693126,-4.9600205
7.507006625257048,-4.840694
7.519585574820972,-4.7205973
7.532164524384896,-4.5997534
7.544743473948818,-4.4781837
7.557322423512742,-4.3559113
7.569901373076664,-4.232957
7.582480322640588,-4.109345
7.5950592722045105,-3.985098
7.607638221768434,-3.8602378
7.6202171713323565,-3.7347894
7.6327961208962805,-3.608775
7.645375070460203,-3.482218
7.6579540200241265,-3.3551404
7.670532969588049,-3.2275662
7.683111919151973,-3.0995188
7.6956908687158965,-2.97102
7.708269818279819,-2.8420928
7.7208487678437425,-2.7127597
7.733427717407665,-2.5830476
7.746006666971589,-2.4529686
7.758585616535511,-2.3225489
7.771164566099435,-2.1918101
7.783743515663357,-2.0607727
